Index Name,Date,Open,High,Low,Close,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales,vix
NIFTY 50,2018-04-23,10592.8,10638.35,10514.95,10584.7,4093.36,4352.44,-259.08,3299.3,2912.04,387.26,13.14999962
NIFTY 50,2018-04-20,10560.35,10582.35,10527.45,10564.05,5297.51,5318.53,-21.02,4063.05,3952.04,111.01,12.93999958
NIFTY 50,2018-04-19,10563.65,10572.2,10546.2,10565.3,4838.37,5463.36,-624.99,3371.41,2922.8,448.61,13.75
NIFTY 50,2018-04-18,10578.9,10594.2,10509.7,10526.2,4064.6,4980.31,-915.71,3379.06,2509.36,869.7,14.10999966
NIFTY 50,2018-04-17,10557.3,10560.45,10495.65,10548.7,4559.84,5511.23,-951.39,3232.34,2508.53,723.81,14.03999996
NIFTY 50,2018-04-16,10398.3,10540.15,10396.35,10528.35,3923.95,4232.08,-308.13,2998.66,3027.63,-28.97,14.26000023
NIFTY 50,2018-04-13,10495.3,10519.9,10451.45,10480.6,4338.0,4737.59,-399.59,3564.73,3258.68,306.05,14.14000034
NIFTY 50,2018-04-12,10410.65,10469.9,10395.25,10458.65,4713.7,4344.8,368.9,3262.6,3878.41,-615.81,14.56000042
NIFTY 50,2018-04-11,10428.15,10428.15,10355.6,10417.15,4832.1,4469.8,362.3,3249.4,3137.58,111.82,14.72000027
NIFTY 50,2018-04-10,10412.9,10424.85,10381.5,10402.25,4186.05,4871.04,-684.99,3633.18,2979.53,653.65,14.5
NIFTY 50,2018-04-09,10333.7,10397.7,10328.5,10379.35,4447.12,5748.05,-1300.93,3523.36,3164.01,359.35,14.86999989
NIFTY 50,2018-04-06,10322.75,10350.45,10290.85,10331.6,3926.61,4451.46,-524.85,3773.95,2468.5,1305.45,14.75
NIFTY 50,2018-04-05,10228.45,10331.8,10227.45,10325.15,4460.59,4568.61,-108.02,4560.79,3945.51,615.28,14.80000019
NIFTY 50,2018-04-04,10274.6,10279.85,10111.3,10128.4,,,,,,,16.34000015
NIFTY 50,2018-04-03,10186.85,10255.35,10171.05,10245.0,5463.44,5839.95,-376.51,3329.77,2850.59,479.18,15.18999958
NIFTY 50,2018-04-02,10151.65,10220.1,10127.75,10211.8,4031.89,4721.64,-689.75,2960.72,2547.56,413.16,15.35000038
NIFTY 50,2018-03-28,10143.6,10158.35,10096.9,10113.7,10134.19,11324.74,-1190.55,9501.71,7541.04,1960.67,15.76000023
NIFTY 50,2018-03-27,10188.0,10207.9,10139.65,10184.15,6108.8,5045.68,1063.12,5501.54,3328.63,2172.91,15.55000019
NIFTY 50,2018-03-26,9989.15,10143.5,9958.55,10130.65,4134.47,4875.66,-741.19,6444.07,4426.12,2017.95,15.19999981
NIFTY 50,2018-03-23,9968.8,10027.7,9951.9,9998.05,7245.51,5617.32,1628.19,4202.8,5138.21,-935.41,15.55000019
NIFTY 50,2018-03-22,10167.5,10207.85,10105.4,10114.75,5224.75,5063.64,161.11,3692.36,3282.47,409.89,15.25
NIFTY 50,2018-03-21,10181.95,10227.3,10132.95,10155.25,5514.9,5416.46,98.44,3692.23,3494.45,197.78,15.10999966
