Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales
20-07-2023,11423.73,8052.83,3370.9,8102.27,8295.29,-193.02
19-07-2023,8973.07,7807.6,1165.47,6389.07,8523.61,-2134.54
18-07-2023,8596.02,8091.36,504.66,340.31,144.51,195.8
17-07-2023,8286.36,8213.36,73,7182.87,7118.53,64.34
14-07-2023,12486,9849.57,2636.43,7333.85,8106.3,-772.45
13-07-2023,10128.06,7890.13,2237.93,8229.67,9426.35,-1196.68
12-07-2023,18217.66,19460.1,-1242.44,15051.19,14614.48,436.71
11-07-2023,10839.74,9642.36,1197.38,9758.83,9766.08,-7.25
10-07-2023,8128.05,7539.57,588.48,8074.49,7786.11,288.38
07-07-2023,9590.27,8799.87,790.4,6244.19,9208.42,-2964.23
06-07-2023,12338,9696.9,2641.1,8247.1,10598.8,-2351.7
05-07-2023,8742.3,7139.2,1603.1,7983.8,8422.8,-439
04-07-2023,8783.66,6649.33,2134.33,7026.14,7811.62,-785.48
03-07-2023,7533.91,5537.99,1995.92,7031.9,7369.7,-337.8
