Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales
24-11-2015,3252.52,3792.64,-540.12,1866.12,1333.99,532.13
23-11-2015,3143.41,3178.78,-35.37,1361.82,1271.54,90.28
20-11-2015,3302.53,3396.62,-94.09,1876.73,1266.57,610.16
19-11-2015,3486.83,3830.01,-343.18,1355.79,1121.97,233.82
18-11-2015,2980.98,3749.44,-768.46,1598.38,839.12,759.26
17-11-2015,3500.4,3992.85,-492.45,1697.49,914.47,783.02
16-11-2015,3345.6,4396.86,-1051.26,1664.52,1002.81,661.71
13-11-2015,5554.39,6301.09,-746.7,1526.75,1455.86,70.89
11-11-2015,190.6,202.53,-11.93,27.47,16.95,10.52
10-11-2015,3205.53,3867.48,-661.95,2237.44,1579.11,658.33
09-11-2015,3816.91,4677.97,-861.06,2320.16,1698.98,621.18
06-11-2015,3160.49,2941.32,219.17,1900.64,1940.09,-39.45
05-11-2015,3915.98,4907.85,-991.87,1883.87,1247.72,636.15
04-11-2015,3531.96,3498.8,33.16,1176.28,1251.18,-74.9
03-11-2015,3171.23,3621.07,-449.84,1603.67,1253.36,350.31
02-11-2015,3258.0,3530.67,-272.67,1335.56,1190.18,145.38
30-10-2015,3385.74,4850.63,-1464.89,3291.32,1731.21,1560.11
29-10-2015,5675.32,5501.2,174.12,2713.8,3013.0,-299.2
28-10-2015,4429.41,5160.58,-731.17,2020.18,1860.01,160.17
27-10-2015,5210.19,5200.69,9.5,1487.76,1653.21,-165.45
26-10-2015,4111.58,3387.07,724.51,1115.08,1645.86,-530.78
23-10-2015,4532.49,4303.31,229.18,1305.26,1461.15,-155.89
21-10-2015,2955.76,3004.09,-48.33,1469.07,1607.8,-138.73
20-10-2015,4496.8,3973.11,523.69,1821.75,2176.71,-354.96
19-10-2015,3463.95,2565.72,898.23,1330.05,1576.31,-246.26
16-10-2015,3527.27,3090.48,436.79,1603.17,1500.68,102.49
14-10-2015,3574.14,3452.39,121.75,1316.33,1523.96,-207.63
13-10-2015,3618.12,3345.51,272.61,974.81,1248.32,-273.51
12-10-2015,2770.03,2452.47,317.56,1036.58,1211.65,-175.07
09-10-2015,3594.01,3110.15,483.86,1583.23,1952.23,-369.0
08-10-2015,4092.94,4141.83,-48.89,1382.71,1682.46,-299.75
07-10-2015,4094.77,4145.37,-50.6,1427.23,1645.98,-218.75
06-10-2015,4402.61,3922.37,480.24,2000.74,2425.34,-424.6
05-10-2015,5203.78,4553.88,649.9,2409.69,2043.92,365.77
01-10-2015,4111.22,4062.62,48.6,1870.86,1718.68,152.18
30-09-2015,7063.3,6947.22,116.08,2349.53,2541.31,-191.78
29-09-2015,4120.3,5232.89,-1112.59,2638.23,1762.03,876.2
28-09-2015,3259.13,3909.14,-650.01,1802.79,1297.2,505.59
24-09-2015,5760.19,5875.29,-115.1,2624.14,2573.47,50.67
23-09-2015,2987.47,4317.59,-1330.12,2008.04,1116.68,891.36
22-09-2015,3938.67,4990.91,-1052.24,1910.71,1532.45,378.26
21-09-2015,3569.39,3414.52,154.87,1135.69,1031.61,104.08
18-09-2015,10656.63,10013.12,643.51,1918.39,1503.3,415.09
16-09-2015,3812.86,4150.13,-337.27,1664.14,1240.33,423.81
15-09-2015,2842.75,3753.6,-910.85,1524.67,1044.17,480.5
14-09-2015,2621.15,2562.4,58.75,1142.16,958.26,183.9
11-09-2015,2493.91,3248.18,-754.27,1648.25,1236.82,411.43
10-09-2015,3536.27,3657.46,-121.19,1321.59,1254.99,66.6
09-09-2015,4143.08,4595.21,-452.13,2312.81,1118.23,1194.58
08-09-2015,2970.3,3629.97,-659.67,1760.13,1312.72,447.41
07-09-2015,2328.82,3155.74,-826.92,1522.28,1018.17,504.11
04-09-2015,3494.61,4781.73,-1287.12,2760.0,1631.3,1128.7
03-09-2015,3324.24,3718.55,-394.31,2397.26,1556.91,840.35
02-09-2015,4573.6,6147.02,-1573.42,2253.96,1373.69,880.27
01-09-2015,4308.6,4983.92,-675.32,2396.86,1714.93,681.93
31-08-2015,9733.82,10285.01,-551.19,1819.22,1340.63,478.59
28-08-2015,5682.45,5626.04,56.41,1832.89,985.46,847.43
27-08-2015,7474.44,10821.79,-3347.35,5078.89,2501.83,2577.06
26-08-2015,5050.82,7396.59,-2345.77,3358.28,1477.2,1881.08
25-08-2015,6665.15,8745.16,-2080.01,4509.66,2546.57,1963.09
24-08-2015,4740.89,10016.29,-5275.4,6071.27,1973.44,4097.83
21-08-2015,4583.5,6924.1,-2340.6,3028.46,1504.36,1524.1
20-08-2015,4699.37,5706.63,-1007.26,2018.09,1450.22,567.87
19-08-2015,3132.83,3556.55,-423.72,1743.89,1360.57,383.32
